Player,Team,Position,Pitcher,League,Division,Yankees,Playoff Team 2011,World Series Team 2011,Salary
Bruce Chen,Kansas City Royals,Pitcher,Yes,American,American Central,No,No,No,2000000
Bryan Augenstein,St. Louis Cardinals,Pitcher,Yes,National,National Central,No,Yes,Yes,414000
Bud Norris,Houston Astros,Pitcher,Yes,National,National Central,No,No,No,437500
Buster Posey,San Francisco Giants,Catcher,No,National,National West,No,No,No,575000
C.J. Wilson,Texas Rangers,Pitcher,Yes,American,American West,No,Yes,Yes,7000000
Cameron Maybin,San Diego Padres,Outfielder,No,National,National West,No,No,No,429100
Carl Crawford,Boston Red Sox,Outfielder,No,American,American East,No,No,No,14857142
Carl Pavano,Minnesota Twins,Pitcher,Yes,American,American Central,No,No,No,8000000
Carlos Beltran,New York Mets,Outfielder,No,National,National East,No,No,No,19325436
Carlos Carrasco,Cleveland Indians,Pitcher,Yes,American,American Central,No,No,No,415800
Carlos Gomez,Milwaukee Brewers,Outfielder,No,National,National Central,No,Yes,No,1500000
Carlos Gonzalez,Colorado Rockies,Outfielder,No,National,National West,No,No,No,1428571
Carlos Guillen,Detroit Tigers,Outfielder,No,American,American Central,No,Yes,No,12922231
Carlos Lee,Houston Astros,Outfielder,No,National,National Central,No,No,No,19000000
Carlos Marmol,Chicago Cubs,Pitcher,Yes,National,National Central,No,No,No,2533333
Carlos Pena,Chicago Cubs,First Baseman,No,National,National Central,No,No,No,9959996
Carlos Quentin,Chicago White Sox,Outfielder,No,American,American Central,No,No,No,5050000
Carlos Ruiz,Philadelphia Phillies,Catcher,No,National,National East,No,Yes,No,2750000
Carlos Santana,Cleveland Indians,Catcher,No,American,American Central,No,No,No,416600
Carlos Villanueva,Toronto Blue Jays,Pitcher,Yes,American,American East,No,No,No,1415000
Carlos Zambrano,Chicago Cubs,Pitcher,Yes,National,National Central,No,No,No,18875000
Casey Blake,Los Angeles Dodgers,Third Baseman,No,National,National West,No,No,No,5500000
Casey Janssen,Toronto Blue Jays,Pitcher,Yes,American,American East,No,No,No,1095000
Casey McGehee,Milwaukee Brewers,Third Baseman,No,National,National Central,No,Yes,No,478000
Casper Wells,Detroit Tigers,Outfielder,No,American,American Central,No,Yes,No,418000
CC Sabathia,New York Yankees,Pitcher,Yes,American,American East,Yes,Yes,No,24285714
Cedric Hunter,San Diego Padres,Outfielder,No,National,National West,No,No,No,414000
Cesar Izturis,Baltimore Orioles,Shortstop,No,American,American East,No,No,No,1500000
